instance,index,n_assets,n_qps,setup_ms,total_s,mean_ms_per_qp,max_ms_per_qp,mean_iterations,n_refined,n_not_solved,max_violation,gmv_return,gmv_variance,gmv_n_held,max_return,max_return_variance,pointwise,max_abs_rel_dev_pct,mean_abs_rel_dev_pct,max_abs_dev,gmv_return_diff,gmv_variance_diff
port1,Hang Seng,31,2001,1.2380999978631735,0.8996456991881132,0.4488518495345488,1.2820998672395945,51.2125,1,0,2.522453635445946e-10,0.0027843779640253077,0.0006422572126156419,10,0.010865000006363361,0.004775501035108786,True,7.766425296982554e-06,2.8567225581130094e-06,2.0247640369897013e-10,4.1664025307499436e-08,1.2615641929551724e-11
port2,DAX 100,85,2001,1.889099832624197,10.881195298861712,5.437520099454559,62.00759997591376,176.3125,0,0,7.370737627508417e-16,0.0021019472199346892,0.0001368552768478172,25,0.009794,0.0028352430090000037,True,3.58152479827681e-05,1.014622375550067e-05,2.8955294932575537e-10,-1.678006531077511e-08,-2.3152182807625182e-11
port3,FTSE 100,89,2001,1.8926998600363731,6.248286306159571,3.1210851531941444,71.78770005702972,65.45,4,0,9.992007221626409e-16,0.002365305452194841,0.00019849352413494576,30,0.008209000000000001,0.0015166351359999983,True,2.4919053351143547e-05,8.058749579638024e-06,1.185632345340054e-10,-1.974780515891575e-08,2.413494575091539e-11
port4,S&P 100,98,2001,2.2552998270839453,14.010648206109181,7.001361503149383,225.66389990970492,204.9125,1,0,1.7763568394002505e-15,0.0019368722150555164,0.00012141308269079835,38,0.009194999999999998,0.002938724099999964,True,4.124868308748768e-05,1.0739769141498584e-05,8.751510011464902e-10,-9.984944483645147e-09,-1.730920165228869e-11
port5,Nikkei 225,225,2001,16.248000087216496,507.5388483055867,253.73992120276674,12851.60019993782,1823.3125,39,0,1.518797895296256e-14,7.080806005121075e-05,0.0003046406996721176,12,0.0039710000000000014,0.0016485224040000282,True,3.3974389813752156e-05,7.527557053056133e-06,3.6180216223154205e-10,-1.5539948789244722e-08,-3.2788236101893853e-13
